epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,37264.6,1.96851,2.20052,0.00986,0.28922,0.2527,0.17306,0.06324,1.9014,2.69887,0.01141,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
60,38049.6,1.96855,2.17976,0.00983,0.2879,0.25138,0.17245,0.06305,1.902,2.70616,0.01142,0.00506981,0.00168994,0.00506981,0.00168994,0.00506981,0.00168994,0.00506981,0.00168994
61,38624.5,1.95872,2.16242,0.00983,0.2886,0.25072,0.17237,0.06286,1.90247,2.71213,0.01143,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
62,39203.3,1.95069,2.16401,0.00979,0.28877,0.2504,0.17208,0.06277,1.90289,2.71828,0.01144,0.00424531,0.0014151,0.00424531,0.0014151,0.00424531,0.0014151,0.00424531,0.0014151
63,39781.8,1.952,2.14075,0.00977,0.28999,0.2487,0.17195,0.06283,1.90339,2.72537,0.01144,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
64,40356.9,1.94672,2.13471,0.00977,0.28686,0.24792,0.17143,0.06253,1.90343,2.73309,0.01144,0.00348804,0.00116268,0.00348804,0.00116268,0.00348804,0.00116268,0.00348804,0.00116268
65,40931.9,1.94387,2.11926,0.00974,0.2863,0.24768,0.1712,0.06245,1.90446,2.7396,0.01145,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
66,41508.5,1.93779,2.09636,0.00971,0.28463,0.24557,0.17088,0.06221,1.9049,2.74739,0.01145,0.00280268,0.000934225,0.00280268,0.000934225,0.00280268,0.000934225,0.00280268,0.000934225
67,42081.7,1.93332,2.08461,0.00965,0.28253,0.24713,0.17037,0.062,1.90648,2.7541,0.01146,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
68,42659.5,1.93351,2.07065,0.00968,0.28263,0.24744,0.17001,0.06185,1.90716,2.76083,0.01146,0.00219343,0.000731145,0.00219343,0.000731145,0.00219343,0.000731145,0.00219343,0.000731145
69,43234.6,1.93194,2.05414,0.0096,0.28256,0.24749,0.16906,0.0615,1.90901,2.76796,0.01148,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
70,43809.3,1.92242,2.0473,0.0096,0.2831,0.24651,0.16919,0.06138,1.91077,2.77358,0.0115,0.00166407,0.000554691,0.00166407,0.000554691,0.00166407,0.000554691,0.00166407,0.000554691
